hour,day_of_week,is_weekend,zone_id,latitude,longitude,accident_count_last_7d,accident_risk
6,3,0,28,18.953373915946464,72.93593820005455,4,0
10,2,0,23,19.01348344445561,72.80857336358439,2,0
21,4,0,1,19.16879950890673,72.96771054180316,1,0
11,1,0,21,18.882826522087885,72.78461248500828,10,1
9,3,0,27,19.026544737317476,72.87121399684341,3,1
2,4,0,18,19.152123015435112,72.87009985039391,1,0
3,0,0,27,19.105315287138215,72.85708330050798,10,1
14,3,0,6,19.12399866311305,72.94663898234724,1,0
13,0,0,3,18.952894435115223,72.93107228206354,6,1
17,1,0,11,19.255799576625677,72.95896547008553,5,1
13,6,1,27,18.898090915564214,72.84506606615265,6,1
12,0,0,28,19.200878792301616,72.79491012873595,9,1
8,0,0,11,18.997395269887214,72.78281596454302,5,1
0,2,0,4,19.250520351405342,72.91021540510039,8,1
8,3,0,1,18.918164046596164,72.85416365043966,9,1
21,2,0,2,19.06888597006478,72.80391884918767,6,1
0,4,0,25,18.97439396789958,72.83121366455227,5,1
9,3,0,12,18.960687680934157,72.9591527191347,2,1
19,4,0,31,19.158206434570452,72.80786629088118,9,1
3,4,0,31,19.119546186595414,72.91895698660794,0,0
9,4,0,29,19.13336150260417,72.95429211803754,4,1
22,3,0,24,19.007201389988744,72.80201038490554,10,1
19,4,0,8,19.00191250326321,72.81293117062859,8,1
18,1,0,11,18.97765020889911,72.81365820843459,7,1
8,3,0,16,18.90595689884359,72.83078308278687,3,1
16,0,0,26,19.12382573359196,72.88053580464577,5,1
22,4,0,31,19.24330635438666,72.82791237813339,0,0
5,6,1,3,18.912341330533085,72.85393089121229,3,0
5,4,0,19,19.273369256357938,72.85976488848891,1,0
15,4,0,2,19.116357177275297,72.91551287236845,0,0
2,6,1,18,19.01946639491669,72.79923531021828,7,1
17,0,0,10,19.016426540420102,72.80269470424813,10,1
9,2,0,6,19.14399361841367,72.94344444004025,5,1
0,5,1,11,19.10331738144284,72.95652726863787,7,1
8,0,0,2,19.16014313198911,72.94933222844766,4,1
23,3,0,10,19.25425399768838,72.9370681302228,8,1
19,5,1,2,19.028913106624696,72.96802668849156,12,1
15,4,0,8,18.950370101070938,72.78361507272311,5,1
15,3,0,23,19.139853159618887,72.94984468209884,1,0
18,5,1,22,18.980184727442232,72.89797416951211,2,1
12,2,0,21,19.242439515087423,72.86687887310208,10,1
0,4,0,27,19.168980846104603,72.83615447248818,3,0
16,0,0,11,19.256183433741167,72.97078571540052,5,1
4,4,0,16,19.101105986734197,72.89445849383416,2,0
19,6,1,28,19.03403909144077,72.95022733430338,3,1
21,1,0,2,19.108024468035747,72.79943529875416,3,0
22,1,0,30,19.087331860945493,72.9554746143856,1,0
9,6,1,25,19.204045357871674,72.95341446371603,13,1
6,0,0,3,19.19931807158671,72.90999278615556,0,0
1,6,1,30,18.894376909518694,72.87311960362649,2,0
21,0,0,19,18.89553389377177,72.84065310293465,11,1
20,3,0,11,19.26610073215631,72.87145303232275,3,1
12,3,0,29,19.09625404864404,72.90748598029964,1,0
22,1,0,4,18.953733469732548,72.79617459332344,5,1
11,4,0,0,18.949317728028337,72.81128740853421,1,0
7,4,0,20,19.13530823753734,72.88333925148531,4,0
21,4,0,22,18.89908645107666,72.89320744209881,2,0
15,4,0,6,19.01852172843576,72.87293476258793,8,1
22,1,0,9,19.259658292636555,72.95733607745962,6,1
0,4,0,12,18.94517377083257,72.79411374948009,4,0
1,0,0,27,19.114310232509386,72.96804604828499,9,1
0,0,0,28,19.098246715726376,72.96829296175531,6,1
0,0,0,7,19.242140256782427,72.81915822695787,2,0
22,0,0,25,19.007590252117502,72.9489750621939,9,1
1,2,0,8,19.078414981717362,72.9185780717384,3,0
3,0,0,20,19.2670322206081,72.88959437664963,5,1
8,2,0,16,19.172659102119855,72.8055379458845,0,1
4,3,0,16,19.1519379119601,72.92798175208948,5,1
8,5,1,16,19.093730989412226,72.87931223813662,10,1
16,3,0,11,19.26341659875328,72.94942862881912,8,1
6,3,0,13,19.150707961769722,72.87650418992853,8,1
2,3,0,24,19.10148122093832,72.82254557900485,9,1
22,0,0,6,18.916482441219475,72.87888406094052,7,1
10,1,0,14,18.937196672821134,72.9323021263435,4,0
