crime_type,hour,day_of_week,is_weekend,zone_id,crime_count_last_7d,latitude,longitude,incident_risk
6,23,4,0,14,7,19.172797576724562,72.89973169683941,1
9,18,6,1,10,8,19.063699556786347,72.8467417222278,0
7,18,5,1,20,6,19.2679639408648,72.94648852816009,0
1,23,3,0,20,12,19.126992603851086,72.90233063209766,1
8,16,2,0,26,16,19.039944388686102,72.78933313264272,1
2,23,6,1,19,19,19.116965827544817,72.789290082544,1
6,20,0,0,6,14,18.885305984463944,72.96844035113698,1
1,21,0,0,25,15,18.919068845602553,72.91684660530244,1
11,6,3,0,28,17,19.213277964694466,72.81467293070156,1
3,19,3,0,1,4,19.050062349796498,72.82158833257364,1
5,22,6,1,17,4,19.190053129344445,72.96789978831283,1
7,9,6,1,27,16,18.898090915564214,72.84506606615265,1
1,22,4,0,23,13,19.022701330677435,72.83618690193748,1
8,14,4,0,0,1,18.886254562696475,72.86468029614127,0
11,7,6,1,10,3,18.95953696163552,72.92226839054973,0
0,22,4,0,9,7,19.023386291417708,72.80317381190503,0
8,7,3,0,1,5,18.918164046596164,72.85416365043966,0
2,23,5,1,26,15,19.104497370339082,72.85658537495075,1
2,20,4,0,25,9,18.97439396789958,72.83121366455227,0
9,9,3,0,12,17,18.960687680934157,72.9591527191347,1
3,22,3,0,29,15,18.93573258176235,72.90088347585557,1
10,3,4,0,31,2,19.119546186595414,72.91895698660794,0
9,12,5,1,24,12,18.922197703932106,72.87130691409658,1
11,19,5,1,29,7,19.09573689676626,72.94148803103282,0
0,20,0,0,26,9,19.0508431154505,72.9436029531845,0
2,22,5,1,7,1,19.093635767750175,72.8769659942718,1
2,21,3,0,23,9,19.25716388156501,72.84464058640415,0
3,18,5,1,16,7,18.98156616557374,72.82937521256773,1
1,22,0,0,4,17,18.993936197750987,72.7873773894709,1
1,21,3,0,21,1,18.89322029316022,72.84901424960533,1
2,21,1,0,20,4,19.075781104111027,72.97713009082213,0
6,22,2,0,16,2,19.171286539444743,72.85355662654385,1
5,20,6,1,15,6,19.19933804999382,72.81014350879309,1
2,23,3,0,26,19,18.968096419026217,72.9222299064876,1
3,21,0,0,0,8,19.03902880843501,72.8835502701055,1
0,22,3,0,24,10,18.925389408496233,72.96493872365572,1
2,22,3,0,15,17,19.206888880080488,72.8910401623199,1
1,20,5,1,11,9,19.10331738144284,72.95652726863787,1
8,2,2,0,15,1,19.218664456895322,72.95126485837562,0
7,19,2,0,16,3,18.944651485637845,72.95971083770542,0
8,2,0,0,28,2,18.993568389894985,72.84107277206888,0
5,20,4,0,8,14,18.950370101070938,72.78361507272311,1
4,21,6,1,2,12,19.143045156920138,72.8936617206671,1
10,18,5,1,22,6,18.980184727442232,72.89797416951211,0
2,21,2,0,26,15,19.19792452141666,72.88052741862104,1
0,20,3,0,28,17,19.0796773519539,72.89440083984184,1
0,23,3,0,29,3,19.261571430801038,72.9629728780441,0
11,8,4,0,23,3,19.012300121868204,72.8905529933671,0
11,0,3,0,30,1,19.002278807714873,72.81818220623008,0
2,23,1,0,24,3,19.03787658672379,72.94884262814527,0
7,9,1,0,31,10,19.14845740672962,72.85172935625924,1
1,21,0,0,7,16,19.158806296398108,72.92049681679742,1
6,20,1,0,22,13,19.04791234257851,72.8312413887189,1
11,6,0,0,3,14,19.19931807158671,72.90999278615556,1
11,18,6,1,14,19,19.030233181055976,72.79879638796818,1
8,21,1,0,25,6,18.892200099975618,72.78746963774985,0
5,20,3,0,4,12,19.088897304021923,72.93399871061972,1
11,4,6,1,3,15,19.21680923000479,72.81887600679897,1
2,22,3,0,15,19,19.270340831785013,72.88326006966024,1
0,23,6,1,18,5,19.055588568282253,72.79569127626846,1
9,20,5,1,22,1,19.051325789976044,72.91769998015307,1
9,0,6,1,1,8,18.97591494366296,72.79877465801626,0
4,18,4,0,6,3,19.142844531400065,72.86713457973558,0
11,15,2,0,4,5,18.928065859122256,72.84837593334328,0
0,21,5,1,29,16,19.16146314375201,72.87483476581747,1
4,21,0,0,29,10,19.05354065969519,72.85970094687947,1
5,22,3,0,1,19,18.984357449336684,72.78306090805808,1
9,0,4,0,12,2,18.94517377083257,72.79411374948009,0
0,23,2,0,19,1,19.11018967115035,72.8576339852413,0
0,20,2,0,10,1,19.25658592351061,72.85722052756016,0
7,9,2,0,11,14,18.989584450928454,72.82291782394168,1
1,20,2,0,17,8,19.153202709366543,72.79423772969204,1
9,9,1,0,29,4,19.205787393035575,72.83637095495469,0
9,20,1,0,12,4,19.254659260742283,72.78783726533513,0
9,4,0,0,23,16,19.202733895706906,72.97810102840013,1
3,19,0,0,6,5,19.112217604937562,72.95342332144195,1
11,16,6,1,12,17,19.17596350417895,72.82764723048079,1
0,21,3,0,15,19,19.035847234487683,72.83952703490186,1
0,23,3,0,28,7,19.242152790567708,72.79825733535723,0
11,13,6,1,31,16,19.073008379857058,72.87860513155437,1
4,22,2,0,11,4,19.011465818147965,72.91450369121542,0
4,18,6,1,12,14,19.25237164227492,72.97484964170688,1
9,4,2,0,22,15,19.098366308065994,72.92116629677574,1
